see contaminationTypes.pptx for labeled photos,,,,,,,,,,,,,,
sample,date,density,strain,type,count1,r1,count2,r2,count3,r3,v1,v2,v3,rep
1,3/16/2016,LD,C4,,1,1,,,,,15,,,1
1,3/16/2016,LD,E2,,1,2,,,,,15,,,1
1,3/16/2016,LD,A3,,5,1,,,,,15,,,1
1,3/16/2016,HD,E2,,4,2,,,,,15,,,1
2.5,3/26/2016,HD,A3,I,3,4,,,,,100,,,1
2.5,3/26/2016,HD,A3,I,7,3,,,,,100,,,1
2.5,3/26/2016,HD,A4,I,20,2,64,2,,,100,,,1
2.5,3/26/2016,HD,A4,IV,1,6,,,,,100,,,1
,,,,,,,,,,,,,,
2,3/23/2016,HD,A4,II,4,6,,,,,10,,,1
2,3/23/2016,HD,A3,II,11,3,4,1,,,10,,,1
2,3/23/2016,HD,B2,III,14,4,11,5,,,10,,,1
2,3/23/2016,HD,B2,IV,16,3,,,,,10,,,1
2,3/23/2016,HD,C4,III,,,,,,,10,,,1
2,3/23/2016,HD,C4,II,3,4,4,2,,,10,,,1
,,,,,,,,,,,,,,
2,3/23/2016,LD,F3,II,11,5,,,,,10,,,1
2,3/23/2016,LD,F3,IV,2,5,,,,,10,,,1
2,3/23/2016,LD,B2,II,1,5,,,,,10,,,1
2,3/23/2016,LD,B2,IV,1,5,,,,,10,,,1
2,3/23/2016,LD,110,II,1,5,,,,,10,,,1
2,3/23/2016,LD,A4,II,1,5,,,,,10,,,1
,,,,,,,,,,,,,,
2.5,3/26/2016,LD,A3,,,,,,,,,,,1
2.5,3/26/2016,LD,A4,II,1,5,,,,,100,,,1
2.5,3/26/2016,LD,B2,II,2,5,,,,,100,,,1
2.5,3/26/2016,LD,C4,III,52,5,,,,,100,,,1
2.5,3/26/2016,LD,E2,,,,,,,,,,,1
2.5,3/26/2016,LD,F2,II,28,5,,,,,100,,,1
2.5,3/26/2016,LD,F3,I,11,5,,,,,100,,,1
2.5,3/26/2016,LD,F3,II,3,5,,,,,100,,,1
2.5,3/26/2016,LD,F5,II,36,5,,,,,100,,,1
2.5,3/26/2016,LD,G3,,,,,,,,100,,,1
2.5,3/26/2016,LD,110,I,1,5,,,,,100,,,1
,,,,,,,,,,,,,,
3,3/30/2016,LD,A3,,,,,,,,10,,,1
3,3/30/2016,LD,A4,I,43,2,21,2,14,3,10,,,1
3,3/30/2016,LD,B2,,,,,,,,10,,,1
3,3/30/2016,LD,C4,III,,,,,,,10,,,1
3,3/30/2016,LD,E2,,,,,,,,10,,,1
3,3/30/2016,LD,F2,,,,,,,,10,,,1
3,3/30/2016,LD,F3,,,,,,,,10,,,1
3,3/30/2016,LD,F5,II,14,2,3,3,,,10,,,1
3,3/30/2016,LD,G3,,,,,,,,10,,,1
3,3/30/2016,LD,110,I,36,1,24,1,8,2,10,,,1
3,3/30/2016,LD,A3,,,,,,,,10,,,2
3,3/30/2016,LD,A4,I,26,1,26,1,4,2,10,,,2
3,3/30/2016,LD,B2,III,,,,,,,10,,,2
3,3/30/2016,LD,C4,III,,,,,,,10,,,2
3,3/30/2016,LD,C4,I,19,1,11,1,7,2,10,,,2
3,3/30/2016,LD,E2,I,41,1,9,2,11,2,10,,,2
3,3/30/2016,LD,F2,IV,70,3,14,4,,,10,,,2
3,3/30/2016,LD,F3,I,31,5,10,6,4,7,10,,,2
3,3/30/2016,LD,F5,IV,5,1,4,1,,,10,,,2
3,3/30/2016,LD,G3,IV,24,1,4,2,28,1,10,,,2
3,3/30/2016,LD,110,II,42,1,8,2,7,2,10,,,2
3,3/30/2016,HD,A3,I,45,2,11,3,6,3,10,,,1
3,3/30/2016,HD,A4,I,5,2,30,2,4,3,10,,,1
3,3/30/2016,HD,B2,II,3,6,1,6,,,10,,,1
3,3/30/2016,HD,C4,V,9,5,,,,,10,,,1
3,3/30/2016,HD,C4,III,,,,,,,10,,,1
3,3/30/2016,HD,E2,III,,,,,,,10,,,1
3,3/30/2016,HD,E2,II,19,2,6,3,,,10,,,1
3,3/30/2016,HD,F2,I,9,2,27,2,,,10,,,1
3,3/30/2016,HD,F3,III,4,1,3,2,,,10,,,1
3,3/30/2016,HD,F3,I,21,4,,,,,10,,,1
3,3/30/2016,HD,F3,II,2,6,,,,,10,,,1
3,3/30/2016,HD,F5,II,2,5,,,,,10,,,1
3,3/30/2016,HD,F5,I,10,3,2,4,,,10,,,1
3,3/30/2016,HD,G3,II,23,1,,,,,10,,,1
3,3/30/2016,HD,G3,I,6,5,,,,,10,,,1
3,3/30/2016,HD,110,III,,,,,,,10,,,1
3,3/30/2016,HD,110,I,20,3,6,4,,,10,,,1
5,4/13/2016,LD,A3,II,7,5,,,,,100,,,1
5,4/13/2016,LD,A3,V,7,5,,,,,100,,,1
5,4/13/2016,LD,A4,,,,,,,,100,,,1
5,4/13/2016,LD,B2,II,210,5,,,,,100,,,1
5,4/13/2016,LD,B2,III,6,5,,,,,100,,,1
5,4/13/2016,LD,C4,,,,,,,,100,,,1
5,4/13/2016,LD,E2,II,1,3,,,,,100,,,1
5,4/13/2016,LD,F2,I,334,,,,,,100,,,1
5,4/13/2016,LD,F2,II,32,3,,,,,100,,,1
5,4/13/2016,LD,F3,II,2,5,,,,,100,,,1
5,4/13/2016,LD,F5,IV,429,5,,,,,100,,,1
5,4/13/2016,LD,F5,II,10,5,,,,,100,,,1
5,4/13/2016,LD,G3,I,95,5,,,,,100,,,1
5,4/13/2016,LD,110,I,43,5,,,,,100,,,1
5,4/13/2016,LD,110,II,18,5,,,,,100,,,1
5,4/13/2016,LD,A3,,,,,,,,100,,,2
5,4/13/2016,LD,A4,,,,,,,,100,,,2
5,4/13/2016,LD,B2,II,5,5,,,,,100,,,2
5,4/13/2016,LD,B2,I,180,5,,,,,100,,,2
5,4/13/2016,LD,B2,IV,173,5,,,,,100,,,2
5,4/13/2016,LD,C4,,,,,,,,100,,,2
5,4/13/2016,LD,E2,,,,,,,,100,,,2
5,4/13/2016,LD,F2,I,245,3,,,,,100,,,2
5,4/13/2016,LD,F2,II,31,3,,,,,100,,,2
5,4/13/2016,LD,F2,V,142,3,,,,,100,,,2
5,4/13/2016,LD,F3,IV,229,5,,,,,100,,,2
5,4/13/2016,LD,F3,II,10,5,,,,,100,,,2
5,4/13/2016,LD,F5,I,44,5,,,,,50,,,2
5,4/13/2016,LD,G3,I,45,5,,,,,50,,,2
5,4/13/2016,LD,110,III,,5,,,,,50,,,2
5,4/13/2016,HD,A3,I,110,5,,,,,50,,,1
5,4/13/2016,HD,A3,II,2,5,,,,,50,,,1
5,4/13/2016,HD,A4,I,73,5,,,,,50,,,1
5,4/13/2016,HD,B2,IV,16,5,,,,,50,,,1
5,4/13/2016,HD,B2,III,12,5,,,,,50,,,1
5,4/13/2016,HD,B2,V,1,5,,,,,50,,,1
5,4/13/2016,HD,C4,IV,10,5,,,,,50,,,1
5,4/13/2016,HD,C4,III,1,5,,,,,50,,,1
5,4/13/2016,HD,C4,V,12,5,,,,,50,,,1
5,4/13/2016,HD,E2,,,,,,,,,,,1
5,4/13/2016,HD,F2,,,,,,,,,,,1
5,4/13/2016,HD,F3,III,3,5,,,,,50,,,1
5,4/13/2016,HD,F3,IV,13,5,,,,,50,,,1
5,4/13/2016,HD,F5,IV,60,5,,,,,50,,,1
5,4/13/2016,HD,F5,II,4,5,,,,,50,,,1
5,4/13/2016,HD,G3,IV,39,5,,,,,50,,,1
5,4/13/2016,HD,G3,VI,43,5,,,,,50,,,1
5,4/13/2016,HD,110,II,5,5,,,,,50,,,1
5,4/13/2016,HD,110,I,3,5,,,,,50,,,1
5,4/13/2016,HD,110,IV,3,5,,,,,50,,,1
5,4/13/2016,HD,110,III,6,5,,,,,50,,,1
5,4/13/2016,HD,A3,II,24,5,,,,,50,,,2
5,4/13/2016,HD,A4,I,12,5,,,,,50,,,2
5,4/13/2016,HD,A4,III,1,5,,,,,50,,,2
5,4/13/2016,HD,A4,IV,37,5,,,,,50,,,2
5,4/13/2016,HD,B2,IV,25,5,,,,,50,,,2
5,4/13/2016,HD,B2,II,25,5,,,,,50,,,2
5,4/13/2016,HD,C4,,,,,,,,,,,2
5,4/13/2016,HD,E2,,,,,,,,,,,2
5,4/13/2016,HD,F2,,,,,,,,,,,2
5,4/13/2016,HD,F3,I,11,5,,,,,50,,,2
5,4/13/2016,HD,F3,III,5,5,,,,,50,,,2
5,4/13/2016,HD,F3,IV,48,5,,,,,50,,,2
5,4/13/2016,HD,F5,II,8,5,,,,,50,,,2
5,4/13/2016,HD,F5,III,3,5,,,,,50,,,2
5,4/13/2016,HD,F5,IV,71,5,,,,,50,,,2
5,4/13/2016,HD,G3,I,36,5,,,,,50,,,2
5,4/13/2016,HD,G3,II,3,5,,,,,50,,,2
5,4/13/2016,HD,110,II,6,5,,,,,50,,,2
5,4/13/2016,HD,110,III,2,5,,,,,50,,,2
6,7/20/2016,LD,A3,II,575,6,,,,,100,,,1
6,7/20/2016,LD,A4,II,115,5,,,,,100,,,1
6,7/20/2016,LD,B2,II,530,5,,,,,100,,,1
6,7/20/2016,LD,C4,I,1861,5,,,,,100,,,1
6,7/20/2016,LD,C4,V,73,5,,,,,100,,,1
6,7/20/2016,LD,E2,II,171,5,,,,,100,,,1
6,7/20/2016,LD,F2,I,,,,,,,100,,,1
6,7/20/2016,LD,F3,II,52,6,136,5,,,100,,,1
6,7/20/2016,LD,F5,I,71,6,,,,,100,,,1
6,7/20/2016,LD,G3,IV,231,6,,,,,100,,,1
6,7/20/2016,LD,110,,,,,,,,100,,,1
6,7/20/2016,LD,A3,II,3,5,,,,,100,,,2
6,7/20/2016,LD,A4,II,82,5,,,,,100,,,2
6,7/20/2016,LD,B2,IV,2900,6,,,,,100,,,2
6,7/20/2016,LD,C4,I,,,,,,,100,,,2
6,7/20/2016,LD,C4,V,559,5,,,,,100,,,2
6,7/20/2016,LD,E2,III,4,4,,,,,100,,,2
6,7/20/2016,LD,F2,I,1290,5,,,,,100,,,2
6,7/20/2016,LD,F3,III,95,5,,,,,100,,,2
6,7/20/2016,LD,F5,I,66,6,,,,,100,,,2
6,7/20/2016,LD,F5,V,11,5,,,,,100,,,2
6,7/20/2016,LD,G3,III,71,5,,,,,100,,,2
6,7/20/2016,LD,110,II,77,5,,,,,100,,,2
6,7/20/2016,LD,A3,,,,,,,,100,,,3
6,7/20/2016,LD,A4,I,365,6,,,,,100,,,3
6,7/20/2016,LD,B2,I,263,6,,,,,100,,,3
6,7/20/2016,LD,C4,III,31,4, ,,,,100,,,3
6,7/20/2016,LD,E2,III,468,5,,,,,100,,,3
6,7/20/2016,LD,F2,I,374,4,,,,,100,,,3
6,7/20/2016,LD,F2,V,41,4,,,,,100,,,3
6,7/20/2016,LD,F3,II,18,5,,,,,100,,,3
6,7/20/2016,LD,F3,V,8,5,,,,,100,,,3
6,7/20/2016,LD,F5,I,88,6,,,,,100,,,3
6,7/20/2016,LD,F5,II,90,6,,,,,100,,,3
6,7/20/2016,LD,G3,II,48,6,,,,,100,,,3
6,7/20/2016,LD,110,II,9,6,,,,,100,,,3
7,5/19/2017,LD,A3,IV,44,5,154,4,,,100,100,,1
7,5/19/2017,LD,A3,IV,74,6,308,5,,,100,100,,2
7,5/19/2017,LD,A3,,0,2,,,,,100,,,3
7,5/19/2017,LD,110,IV,63,4,273,3,,,100,100,,1
7,5/19/2017,LD,110,IV,478,5,91,6,,,100,100,,2
7,5/19/2017,LD,110,IV,224,5,50,6,,,100,100,,3
8,6/8/2017,LD,A3,,13,5,,,,,100,100,100,1
8,6/8/2017,LD,A3,,0,5,,,,,100,100,100,2
8,6/8/2017,LD,A3,,0,5,,,,,100,100,100,3
8,6/8/2017,LD,A4,,14,5,68,5,,,100,100,100,1
8,6/8/2017,LD,A4,,39,6,196,5,,,100,100,100,2
8,6/8/2017,LD,A4,,98,6,,,,,100,100,100,3
8,6/8/2017,LD,B2,,19,5,5,6,,,100,100,100,1
8,6/8/2017,LD,B2,,,,,,,,100,100,100,2
8,6/8/2017,LD,B2,,,,,,,,100,100,100,3
8,6/8/2017,LD,E2,,26,3,7,4,,,100,100,100,1
8,6/8/2017,LD,E2,,153,2,,,,,100,100,100,2
8,6/8/2017,LD,E2,,46,3,6,4,,,100,100,100,3
8,6/8/2017,LD,F2,,0,2,,,,,100,100,100,1
8,6/8/2017,LD,F2,,567,5,,,,,100,100,100,2
8,6/8/2017,LD,F2,,292,5,,,,,100,100,100,3
8,6/8/2017,LD,F3,,173,5,,,,,100,100,100,1
8,6/8/2017,LD,F3,,23,3,,,,,100,100,100,2
8,6/8/2017,LD,F3,,456,5,,,,,100,100,100,3
8,6/8/2017,LD,F5,,57,6,,,,,100,100,100,1
8,6/8/2017,LD,F5,,28,5,97,4,,,100,100,100,2
8,6/8/2017,LD,F5,,36,6,199,5,,,100,100,100,3
8,6/8/2017,LD,G3,,36,6,180,5,,,100,100,100,1
8,6/8/2017,LD,G3,,63,6,,,,,100,100,100,2
8,6/8/2017,LD,G3,,2,4,,,,,100,100,100,3
8,6/8/2017,LD,110,,100,6,,,,,100,100,100,1
8,6/8/2017,LD,110,,75,6,,,,,100,100,100,2
8,6/8/2017,LD,110,,278,6,,,,,100,100,100,3
8,6/8/2017,HD,A3,,,,,,,,100,100,100,1
8,6/8/2017,HD,A3,,11,5,,,,,100,100,100,2
8,6/8/2017,HD,A3,,38,5,,,,,100,100,100,3
8,6/8/2017,HD,110,,78,6,,,,,100,100,100,1
8,6/8/2017,HD,110,,73,6,,,,,100,100,100,2
8,6/8/2017,HD,110,,53,6,,,,,100,100,100,3
